Cód. CNUC;Nome da UC;Categoria;Coord. Regional;Ano/Criação; Área (hect) ; Perimetro (m) ;Ato legal;Grupo;UF;Municípios;Bioma;Fuso/abrangencia
0000.00.0245;RESERVA EXTRATIVISTA MARINHA DA BAIA DO IGUAPÉ;RESEX;GR 2- NORDESTE;2000; 10.082,59 ; 164.782,77 ;"DEC S/N, de 11/08/2000; LEI 12.058, de 13/10/2009";US;BA;Maragogipe, Cachoeira, São Félix, Saubara.;MATA ATLÂNTICA;24S
0000.00.0246;RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ;RESEX;GR 2- NORDESTE;2001; 10.196,69 ; 115.768,01 ;DEC S/N, de 27/09/2001;US;AL;Jequiá da Praia, Coruripe.;MATA ATLÂNTICA;25S
0000.00.0247;RESERVA EXTRATIVISTA MARINHA DE ARAÍ-PEROBA;RESEX;GR 1 - NORTE;2005; 62.578,12 ; 231.958,96 ;"DEC S/N, de 20/05/2005; DEC S/N, de 10/10/2014";US;PA;Augusto Corrêa.;AMAZÔNIA;23S
0000.00.0248;RESERVA EXTRATIVISTA MARINHA DE CAETÉ-TAPERAÇU;RESEX;GR 1 - NORTE;2005; 42.489,81 ; 164.683,38 ;DEC S/N, de 20/05/2005;US;PA;Bragança, Tracateua.;AMAZÔNIA;23S
0000.00.0249;RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ;RESEX;GR 1 - NORTE;2005; 72.789,93 ; 328.031,89 ;DEC S/N, de 20/05/2005;US;PA;Viseu, Augusto Correia.;AMAZÔNIA;23S
0000.00.0254;RESERVA EXTRATIVISTA MARINHA DE SOURE;RESEX;GR 1 - NORTE;2001; 29.578,80 ; 283.551,99 ;DEC de 22/11/2001;US;PA;Soure.;AMAZÔNIA;22S
0000.00.0250;RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA;RESEX;GR 1 - NORTE;2005; 27.864,50 ; 145.105,54 ;DEC S/N, de 20/05/2005;US;PA;Tracuateua, Bragança, Quatipuru.;AMAZÔNIA;23S
0000.00.0251;RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO;RESEX;GR 4- SUDESTE;1997; 51.677,39 ; 129.304,86 ;DEC S/N, de 03/01/1997;US;RJ;Arraial do Cabo, Araruama, Cabo Frio.;MATA ATLÂNTICA;23S
0000.00.0252;RESERVA EXTRATIVISTA MARINHA DO CORUMBAU;RESEX;GR 2- NORDESTE;2000; 89.996,76 ; 181.735,00 ;DEC S/N, de 21/09/2000;US;BA;Porto Seguro, Prado.;MARINHO COSTEIRO;24S
0000.00.0225;RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAÍBA;RESEX;GR 2- NORDESTE;2000; 27.022,07 ; 105.065,14 ;DEC S/N, de 16/11/2000;US;MA/PI;Araioses, Ilha Grande, Água Doce do Maranhão.;CERRADO;24S
0000.00.0255;RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ;RESEX;GR 5- SUL;1992; 1.686,87 ; 27.378,02 ;DEC 533, de 20/05/1992;US;SC;Florianópolis;MATA ATLÂNTICA;22S
0000.00.3133;RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO;RESEX;GR 1 - NORTE;2014; 26.464,88 ; 314.548,57 ;DEC S/N, de 10/10/2014;US;PA;Marapanim.;AMAZÔNIA;23S
0000.00.3132;RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA;RESEX;GR 1 - NORTE;2014; 21.027,80 ; 173.445,61 ;DEC S/N, de 10/10/2014;US;PA;São Caetano de Odivelas.;AMAZÔNIA;22S e 23S
0000.00.1809;RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE;RESEX;GR 2- NORDESTE;2009; 29.805,48 ; 82.389,16 ;DEC S/N, de 05/06/2009;US;CE;Beberibe.;MARINHO COSTEIRO;24S
0000.00.1810;RESERVA EXTRATIVISTA RENASCER;RESEX;GR 1 - NORTE;2009; 209.667,37 ; 234.967,81 ;DEC S/N, de 05/06/2009;US;PA;Prainha.;AMAZÔNIA;22S
0000.00.0280;RESERVA EXTRATIVISTA RIO IRIRI;RESEX;GR 1 - NORTE;2006; 398.997,61 ; 544.761,28 ;DEC S/N, de 05/06/2006;US;PA;Altamira.;AMAZÔNIA;21S e 22S
0000.00.0283;RESERVA EXTRATIVISTA RIO UNINI;RESEX;GR 1 - NORTE;2006; 849.693,35 ; 1.232.454,67 ;"DEC S/N, de 21/06/2006 
";US;AM;Barcelos, Maraã.;AMAZÔNIA;20S
0000.00.1635;RESERVA EXTRATIVISTA RIO XINGU;RESEX;GR 1 - NORTE;2008; 303.004,70 ; 374.683,45 ;DEC S/N, de 05/06/2008;US;PA;Altamira, São Félix do Xingú.;AMAZÔNIA;22S
0000.00.0257;RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE;RESEX;GR 1 - NORTE;2005; 324.905,93 ; 399.033,23 ;DEC S/N, de 17/02/2005;US;AC/AM;Cruzeiro do Sul, Tarauacá , Marechal Thaumaturgo, Porto Walter.;AMAZÔNIA;18S
0000.00.0258;RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO;RESEX;GR 1 - NORTE;2004; 737.088,87 ; 493.043,52 ;DEC S/N, de 08/11/2004;US;PA;Altamira, Itaituba, Rurópolis, Trairão.;AMAZÔNIA;21S
0000.00.0259;RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS;RESEX;GR 1 - NORTE;1998; 677.521,47 ; 600.011,46 ;DEC S/N, de 06/11/1998;US;PA;Santarém, Aveiro.;AMAZÔNIA;21S
0000.00.0282;RESERVA EXTRATIVISTA TERRA GRANDE - PRACUÚBA;RESEX;GR 1 - NORTE;2006; 194.870,38 ; 272.814,34 ;DEC S/N, de 05/06/2006;US;PA;São Sebastião da Boa Vista, Curralinho, Anajás, Breves, Muaná.;AMAZÔNIA;22S
0000.00.0260;RESERVA EXTRATIVISTA VERDE PARA SEMPRE;RESEX;GR 1 - NORTE;2004; 1.289.379,74 ; 559.114,40 ;DEC S/N, de 08/11/2004;US;PA;Porto de Moz, Gurupá, Brasil Novo, Prainha.;AMAZÔNIA;22S
